acquired_view_count_after,acquired_view_count_before,acquisition_ms,coverage_after,coverage_before,history_anchor_ids,ndcg_at_5,normalized_regret,object_id,oracle_true_gain,peak_cuda_allocated_bytes,policy,policy_ms,process_rss_bytes,process_rss_delta_bytes,profiling_mode,reachable_normalized_coverage_after,reachable_normalized_coverage_before,seed,selected_anchor,selected_true_gain,spearman,step_index,valid_candidate_mask
6,5,0.32077000014396617,0.916272165975696,0.8974560006163077,"[0, 39, 11, 41, 44]",0.8559877893394011,0.1530732164839088,02828884/1bf5b1fa54aeec162701a18243b45d3,0.021759567413409966,3649259520,vggt_independent_history,1.6021040000850917,6244229120,4096,cached_independent_features_plus_live_history_head,0.9284840824690644,0.9094171385215809,0,2,0.01881616535938842,0.6824222289338568,4,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, false, true, true, true]"
7,6,0.29488800009858096,0.920966101230343,0.916272165975696,"[0, 39, 11, 41, 44, 2]",0.2785093599842263,0.8693778929604437,02828884/1bf5b1fa54aeec162701a18243b45d3,0.02058160109875077,3649292288,vggt_independent_history,1.592231000358879,6244233216,0,cached_independent_features_plus_live_history_head,0.9332405776785846,0.9284840824690644,0,46,0.00469393525464683,0.06279880074548254,5,"[false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, false, true, true, true]"
8,7,0.2827360003720969,0.9256030238980062,0.920966101230343,"[0, 39, 11, 41, 44, 2, 46]",0.4462802781712371,0.8710796205866679,02828884/1bf5b1fa54aeec162701a18243b45d3,0.020380593811398715,3649325056,vggt_independent_history,1.594377999936114,6244233216,0,cached_independent_features_plus_live_history_head,0.9379393004472509,0.9332405776785846,0,3,0.004636922667663244,0.540766550522648,6,"[false, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, false, true, false, true]"
9,8,0.2936169998974947,0.9330893872947918,0.9256030238980062,"[0, 39, 11, 41, 44, 2, 46, 3]",0.47403263927498474,0.7007275539729793,02828884/1bf5b1fa54aeec162701a18243b45d3,0.020369083778152365,3649357824,vggt_independent_history,1.5575719999105786,6244233216,0,cached_independent_features_plus_live_history_head,0.9455254407968192,0.9379393004472509,0,1,0.0074863633967856835,0.24615384615384617,7,"[false, true, false, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, false, true, false, true]"
10,9,0.29527100014092866,0.9369316161656573,0.9330893872947918,"[0, 39, 11, 41, 44, 2, 46, 3, 1]",0.2876970959174176,0.8496890040683162,02828884/1bf5b1fa54aeec162701a18243b45d3,0.01590438019140478,3649390592,vggt_independent_history,1.5542159999313299,6244233216,0,cached_independent_features_plus_live_history_head,0.9494188782276102,0.9455254407968192,0,45,0.0038422288708655147,-0.22935222672064778,8,"[false, false, false, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, false, true, false, true]"
2,1,0.4509790001065994,0.545725926798494,0.2045744918978715,[0],0.9423178363710842,0.11258230033679473,02828884/1bf5b1fa54aeec162701a18243b45d3,0.37964337812290266,3744329216,vggt_joint_pose_deepsets,125.15826600019864,6244249600,0,live_joint_vggt_plus_history_head,0.5529992672903256,0.20730102524080002,0,42,0.34115143490062233,0.6938020351526365,0,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
3,2,0.41307299989057356,0.7956495385842941,0.545725926798494,"[0, 42]",0.8882447338323922,0.17037601447556738,02828884/1bf5b1fa54aeec162701a18243b45d3,0.2983295967012394,3840167424,vggt_joint_pose_deepsets,135.04575799970553,6244249600,0,live_joint_vggt_plus_history_head,0.806253817622752,0.5529992672903256,0,31,0.2499236117858002,0.8455750847980265,1,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true]"
4,3,0.41667000004963484,0.8341345181649453,0.7956495385842941,"[0, 42, 31]",0.8195593957582076,0.3788475493442411,02828884/1bf5b1fa54aeec162701a18243b45d3,0.05988538172478284,3931589632,vggt_joint_pose_deepsets,170.8148100001381,6244249600,0,live_joint_vggt_plus_history_head,0.8452517183357258,0.806253817622752,0,17,0.038484979580651196,0.7184453227931488,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true]"
5,4,0.4030290001537651,0.884658286183499,0.8341345181649453,"[0, 42, 31, 17]",0.8742552363595676,0.0,02828884/1bf5b1fa54aeec162701a18243b45d3,0.05052376801855372,4028539392,vggt_joint_pose_deepsets,205.51848900004188,6244249600,0,live_joint_vggt_plus_history_head,0.8964488583706779,0.8452517183357258,0,45,0.05052376801855372,0.2995066948555321,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true]"
6,5,0.4755950003527687,0.9035917783443419,0.884658286183499,"[0, 42, 31, 17, 45]",0.6283662036454174,0.36736298357322206,02828884/1bf5b1fa54aeec162701a18243b45d3,0.02934108815209467,4121629184,vggt_joint_pose_deepsets,241.8597740002042,6244249600,0,live_joint_vggt_plus_history_head,0.9156346928308745,0.8964488583706779,0,13,0.01893349216084291,0.22938689217758984,4,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, true]"
7,6,0.42871999994531507,0.9084167054821355,0.9035917783443419,"[0, 42, 31, 17, 45, 13]",0.4729309862846043,0.847657657460893,02828884/1bf5b1fa54aeec162701a18243b45d3,0.028768618469796954,4215296512,vggt_joint_pose_deepsets,291.8245070000012,6244249600,0,live_joint_vggt_plus_history_head,0.9205239257606384,0.9156346928308745,0,47,0.004824927137793549,0.6439510574507739,5,"[false, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, true]"
8,7,0.42209499997625244,0.9332366223910993,0.9084167054821355,"[0, 42, 31, 17, 45, 13, 47]",0.8171431669041391,0.10348173918480989,02828884/1bf5b1fa54aeec162701a18243b45d3,0.027637760949427933,4312506880,vggt_joint_pose_deepsets,338.0507629999556,6244249600,0,live_joint_vggt_plus_history_head,0.9456746382169512,0.9205239257606384,0,9,0.024819916908963742,0.7865853658536585,6,"[false, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, false]"
9,8,0.42768699995576753,0.9396566392503358,0.9332366223910993,"[0, 42, 31, 17, 45, 13, 47, 9]",0.587754025653472,0.5482582287965924,02828884/1bf5b1fa54aeec162701a18243b45d3,0.013717241103262782,4405488128,vggt_joint_pose_deepsets,389.4747010003812,6244253696,0,live_joint_vggt_plus_history_head,0.9521802199472842,0.9456746382169512,0,2,0.006420016859236682,0.8686679174484052,7,"[false, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, false]"
10,9,0.3964950001318357,0.9448305048662029,0.9396566392503358,"[0, 42, 31, 17, 45, 13, 47, 9, 2]",0.564036886694151,0.5701966012269071,02828884/1bf5b1fa54aeec162701a18243b45d3,0.011497260475707868,4496722944,vggt_joint_pose_deepsets,440.6221710000864,6244274176,4096,live_joint_vggt_plus_history_head,0.9574230419466311,0.9521802199472842,0,12,0.005173865615867086,0.8109311740890688,8,"[false, true, false, true, true, true, true, true, true, false, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, false]"
