object_id,policy,acquired_view_count,history_anchor_ids,accuracy_normalized,completeness_normalized,chamfer_l1_normalized,ground_truth_diameter,precision_1pct,recall_1pct,fscore_1pct,precision_2pct,recall_2pct,fscore_2pct,alignment_mode,alignment_scale,camera_center_rmse_normalized,predicted_point_count,ground_truth_point_count,prediction_cache_hit,metric_cache_hit,ground_truth_cache_hit,prediction_cache_path,prediction_cache_sha256,metric_cache_path,evaluation_ms
03001627/114f72b38dcabdf0823f29d871e57676,vggt_joint_pose_deepsets,10,"[0, 33, 44, 19, 15, 25, 21, 42, 38, 24]",0.047375555630279634,0.08136128633795081,0.06436842098411522,1.9973804334989995,0.1795,0.096,0.12509618874773143,0.3573,0.2053,0.2607667614646285,camera_pose_sim3,2.5429412810811485,0.32074044642045246,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/114f72b38dcabdf0823f29d871e57676/40b8b8c286caacb52514dc69.npz,6df844229b86c7a922d5fe99a30ad6eaa18f4d941e501cfa7296e4cd271b83b0,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/114f72b38dcabdf0823f29d871e57676/ab43f5912874f195f7aac737.json,929.0379160001976
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_independent_history,1,[0],0.7603661694695203,0.9962361033462872,0.8783011364079037,1.9997221151908326,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,4.666802193636301,0.0,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/ebf64c91b6685aa3a1c8a6a2.npz,621a0b9c57d6c5c35d02f059b8dda1842791369054c26a782ad66c4bde21582e,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/09ae753d57340a98ebe64941.json,205.60883899997862
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_independent_history,2,"[0, 33]",1.2620437090460108,1.4099125027735246,1.3359781059097677,1.9997221151908326,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,3.5392124031044565,0.660103332347781,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/af762b0c9bf288f99f377928.npz,11301f2174fe64886f99abbfd2855762db2f44064d15b478d63ee282515df971,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/846165958c5cbd63393a7668.json,265.3591439993761
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_independent_history,3,"[0, 33, 44]",0.07591546112334518,0.13429698677290935,0.10510622394812727,1.9997221151908326,0.0579,0.0134,0.0217632538569425,0.1557,0.0307,0.05128744635193133,camera_pose_sim3,2.3619976036391765,0.2250818088517458,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/af1a4ee5544aa611fab74671.npz,9f83830cd2fd0998669a6b789477bd36a9c582047dde76b392eb70da48f62b5d,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/8c3b06b9fb4ce8479ef594c4.json,334.19609399970795
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_independent_history,5,"[0, 33, 44, 2, 36]",0.032255668348994695,0.07757330408981757,0.05491448621940613,1.9997221151908326,0.1496,0.0467,0.07118003056546103,0.3486,0.1026,0.15853882978723405,camera_pose_sim3,2.42586770676108,0.13034892536854256,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/ceaee7cff8be352226af9785.npz,3e49e04da95e1d6031f29307eaa5a04ddd336c9df608624c19d2fc67257b6da5,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/fb713ceab7b6432cd9688cfe.json,480.8993469996494
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_independent_history,10,"[0, 33, 44, 2, 36, 39, 11, 17, 29, 8]",0.023798397222284662,0.05164445633734019,0.037721426779812425,1.9997221151908326,0.3006,0.1534,0.20313674008810575,0.6356,0.2998,0.4074254436604662,camera_pose_sim3,2.425644741381419,0.07344374495480038,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/ed8471a386e08df8580603bc.npz,4e354ad09dd2541b9d865952d8edb6d6a4fc6a84567f9723c87f9579dc369c87,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/ec81197b78507dc8005444a6.json,934.6924789997502
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_joint_pose_deepsets,1,[0],0.7603661694695203,0.9962361033462872,0.8783011364079037,1.9997221151908326,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,4.666802193636301,0.0,10000,10000,True,True,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/ebf64c91b6685aa3a1c8a6a2.npz,621a0b9c57d6c5c35d02f059b8dda1842791369054c26a782ad66c4bde21582e,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/09ae753d57340a98ebe64941.json,3.928268999516149
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_joint_pose_deepsets,2,"[0, 44]",0.04677495944809431,0.14607180673654976,0.09642338309232204,1.9997221151908326,0.1067,0.0172,0.02962453591606134,0.3277,0.0401,0.07145606307775963,camera_pose_sim3,2.555518915039339,0.07138032440951687,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/ab80f92568ee7253b3f2dd33.npz,82a59a98f917dd6d76ca6ef2d96b1be2e8bcbf90cbbf9fe6897283b572b37cc1,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/85d213635813831a9270c95f.json,263.10747699972126
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_joint_pose_deepsets,3,"[0, 44, 17]",0.06648912224656299,0.16069713805631716,0.11359313015144007,1.9997221151908326,0.0697,0.018,0.02861117445838084,0.1821,0.0463,0.07382863397548162,camera_pose_sim3,2.553995411810887,0.17461557904980451,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/383dfe9bb249ed61de7dfb3f.npz,5941d337a9404f6330b234a5ec07a3fb1ffd5225d763044ae5ad64e77ad93dac,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/79e5bf142c489c6c80c0813d.json,331.9948749995092
03001627/11506b96d41f7d3dd7c4a943f33e0384,vggt_joint_pose_deepsets,5,"[0, 44, 17, 13, 34]",0.03677641843471417,0.08209516074050449,0.05943578958760933,1.9997221151908326,0.1133,0.0377,0.05657496688741722,0.3232,0.0879,0.13821104354171734,camera_pose_sim3,2.5220151046265626,0.1497588809610663,10000,10000,False,False,False,/content/cv3d-project/data/cache/reconstruction/predictions/03001627/11506b96d41f7d3dd7c4a943f33e0384/31c7b62d3b11c3d9cdb69004.npz,b15e53fa7559d0c0605f121a14445d3c790657b007b8b3b8374cc3dc2ab8067c,/content/cv3d-project/data/cache/reconstruction/metrics/03001627/11506b96d41f7d3dd7c4a943f33e0384/878f71dfcdad2c1fce0d75a9.json,480.17961899950024
